dim0,dim1,scale,magnitude,dir1_scale,dir2_scale,episode_rewards,episode_std_rewards,episode_stderr_rewards,episode_value_ests,episode_values,episode_td_err,episode_avg_len,episode_std_avg_len,step_rewards,step_value_ests,step_values,step_td_err,dim0,dim1
0.13333333333333333,-0.26666666666666666,15,1.0,1.0,1.0,499.0,0.0,0.0,49.796639681625365,45.000205119925695,4.958825129083813,500.0,0.0,0.998,49.796639681625365,45.000205119925695,4.958825129083813,2.0,-4.0
-0.6,0.13333333333333333,15,1.0,1.0,1.0,499.0,0.0,0.0,49.85055382518768,45.000205119925695,4.971709213954978,500.0,0.0,0.998,49.85055382518768,45.000205119925695,4.971709213954978,-9.0,2.0
-0.3333333333333333,-0.2,15,1.0,1.0,1.0,499.0,0.0,0.0,49.68556625995636,45.000205119925695,4.936453995075944,500.0,0.0,0.998,49.68556625995636,45.000205119925695,4.9364539950759445,-5.0,-3.0
-0.13333333333333333,-0.2,15,1.0,1.0,1.0,499.0,0.0,0.0,49.77020211524963,45.000205119925695,4.953314679978708,500.0,0.0,0.998,49.77020211524963,45.000205119925695,4.953314679978708,-2.0,-3.0
0.06666666666666667,-0.2,15,1.0,1.0,1.0,499.0,0.0,0.0,49.843992305374144,45.000205119925695,4.968429940599111,500.0,0.0,0.998,49.843992305374144,45.000205119925695,4.968429940599111,1.0,-3.0
0.6666666666666666,-0.4666666666666667,15,1.0,1.0,1.0,499.0,0.0,0.0,49.701814178657536,45.000205119925695,4.9408455852105195,500.0,0.0,0.998,49.70181417865753,45.000205119925695,4.9408455852105195,10.0,-7.0
0.8666666666666667,0.4666666666666667,15,1.0,1.0,1.0,499.0,0.0,0.0,50.17761693172455,45.000205119925695,5.0420348631185234,500.0,0.0,0.998,50.17761693172455,45.000205119925695,5.042034863118524,13.0,7.0
0.4,0.2,15,1.0,1.0,1.0,499.0,0.0,0.0,50.236863644599914,45.000205119925695,5.047213146617581,500.0,0.0,0.998,50.236863644599914,45.000205119925695,5.047213146617582,6.0,3.0
0.8,0.4,15,1.0,1.0,1.0,499.0,0.0,0.0,50.24344979553223,45.000205119925695,5.049857865662878,500.0,0.0,0.998,50.24344979553223,45.000205119925695,5.049857865662878,12.0,6.0
0.7333333333333333,0.3333333333333333,15,1.0,1.0,1.0,499.0,0.0,0.0,50.27464192028046,45.000205119925695,5.055102556085567,500.0,0.0,0.998,50.27464192028046,45.000205119925695,5.055102556085566,11.0,5.0
-0.06666666666666667,0.8,15,1.0,1.0,1.0,499.0,0.0,0.0,49.657890591049195,45.000205119925695,4.9308141075001855,500.0,0.0,0.998,49.657890591049195,45.000205119925695,4.9308141075001855,-1.0,12.0
-1.0,-0.6666666666666666,15,1.0,1.0,1.0,499.0,0.0,0.0,48.54704962997437,45.000205119925695,4.780388333801251,500.0,0.0,0.998,48.54704962997437,45.000205119925695,4.780388333801252,-15.0,-10.0
-0.4666666666666667,-0.6,15,1.0,1.0,1.0,499.0,0.0,0.0,49.12077036342621,45.000205119925695,4.823746425196055,500.0,0.0,0.998,49.12077036342621,45.000205119925695,4.823746425196055,-7.0,-9.0
-0.8,0.8,15,1.0,1.0,1.0,499.0,0.0,0.0,49.377128264045716,45.000205119925695,5.086710029148323,500.0,0.0,0.998,49.377128264045716,45.000205119925695,5.086710029148324,-12.0,12.0
0.0,-0.8666666666666667,15,1.0,1.0,1.0,499.0,0.0,0.0,48.96075831947327,45.000205119925695,4.8005842608775255,500.0,0.0,0.998,48.960758319473264,45.000205119925695,4.8005842608775255,0.0,-13.0
-0.4666666666666667,0.9333333333333333,15,1.0,1.0,1.0,499.0,0.0,0.0,49.09906233386993,45.000205119925695,4.954896376010234,500.0,0.0,0.998,49.09906233386993,45.000205119925695,4.954896376010233,-7.0,14.0
-0.7333333333333333,-0.06666666666666667,15,1.0,1.0,1.0,499.0,0.0,0.0,49.61055899505615,45.000205119925695,4.923365569412107,500.0,0.0,0.998,49.61055899505615,45.000205119925695,4.923365569412106,-11.0,-1.0
0.8666666666666667,0.5333333333333333,15,1.0,1.0,1.0,487.4390243902439,74.02636313519928,11.560975609756097,50.03617088659977,44.16388547155818,6.909190234654286,488.4390243902439,74.02636313519928,0.997952661539998,50.11209977181489,44.95568715602079,5.131617852803242,13.0,8.0
-0.13333333333333333,0.8666666666666667,15,1.0,1.0,1.0,499.0,0.0,0.0,49.448752318191524,45.000205119925695,4.899498722611776,500.0,0.0,0.998,49.44875231819153,45.000205119925695,4.899498722611775,-2.0,13.0
0.2,0.9333333333333333,15,1.0,1.0,1.0,499.0,0.0,0.0,49.33682050266266,45.000205119925695,4.868758751617152,500.0,0.0,0.998,49.33682050266266,45.000205119925695,4.868758751617151,3.0,14.0
1.0,-1.0,15,1.0,1.0,1.0,391.2307692307692,170.31650068986215,23.61864908826523,47.55744368327609,40.60137469576278,9.076760589167037,392.2307692307692,170.31650068986215,0.9974504804863699,48.330851809420665,43.887450635323894,6.32459403032436,15.0,-15.0
-0.2,0.2,15,1.0,1.0,1.0,499.0,0.0,0.0,50.05648546562195,45.000205119925695,5.010993856347614,500.0,0.0,0.998,50.05648546562195,45.000205119925695,5.010993856347614,-3.0,3.0
-0.8,-0.7333333333333333,15,1.0,1.0,1.0,499.0,0.0,0.0,48.65744836273193,45.000205119925695,4.747968249313454,500.0,0.0,0.998,48.657448362731934,45.000205119925695,4.747968249313454,-12.0,-11.0
